,类别,类型,题目,难度,选项,答案
136,机器学习与深度学习,单选题,"导出线性回归的参数时，我们做出下列哪种假定？（）
1.因变量y和自变量x的真实关系是线性的
2.模型误差是统计独立的
3.误差通常服从一个平均值为零，标准差恒定的分布
4.自变量x是非随机的，无错的",1,"['1,2和3', '1,3和4', '1和3', '以上都对']",D
137,机器学习与深度学习,单选题,下列哪一项说明了X，Y之间的较强关系,1,"['相关系数为0.9', 'Beta系数为0的空假设的p-value是0.0001', 'Beta系数为0的空假设的t统计量是30', '都不对']",A
138,机器学习与深度学习,单选题,下列关于异方差性哪项是正确的？,1,"['线性回归有变化的误差项', '线性回归有恒定的误差项', '线性回归有零误差项', '以上都不对']",A
139,机器学习与深度学习,单选题,"我们可以通过一种叫“正规方程”的分析方法来计算线性回归的相关系数，下列关于“正规方程”哪一项是正确的？( )
1.我们不必选择学习比率
2.当特征值数量很大时会很慢
3.不需要迭代",1,"['1和2', '1和3', '2和3', '1,2和3']",D
140,机器学习与深度学习,单选题,"下列哪项可以评价回归模型？（ ）
1.R方
2.调整R方
3.F统计量
4.RMSE/MSE/MAE",1,"['2和4', '1和2', '2,3和4', '以上所有']",D
141,机器学习与深度学习,单选题,关于Ridge和Lasso回归在特征值选择上的方法，一下哪项正确？,1,"['Ridge回归使用特征值的子集选择', 'Lasso回归使用特征值的子集选择', '二者都使用特征值的子集选择', '以上都不正确']",B
142,机器学习与深度学习,单选题,"X轴是自变量，Y 轴是因变量
下列对A，B各自残差和的陈述哪项正确？",1,"['A比B高', 'A比B低', '两者相同', '以上都不对']",C
143,机器学习与深度学习,单选题,为了评价一个简单线性回归模型（单自变量），需要多少个参数？,1,"['1', '2', '不确定']",B
144,机器学习与深度学习,单选题,"关于回归和相关，下列哪项是正确的？(  )
提示：y是因变量，x是自变量",1,"['在两者中，x、y关系都是对称的', '在两者中，x、y关系都是不对称的', 'x、y在相关情况下不对称，在回归中对称', 'x、y在相关情况下对称，在回归中不对称']",D
145,机器学习与深度学习,单选题,"假设用一个复杂回归模型拟合一个数据集，使用带固定参数lambda的Ridge回归来减小它的复杂度，
下列哪项描述了偏差和方差与lambda的关系？",1,"['对于非常大的lambda，偏差很小，方差很小', '对于非常大的lambda，偏差很小，方差很大', '对于非常大的lambda，偏差很大，方差很小', '对于非常大的lambda，偏差很大，方差很大']",C
146,机器学习与深度学习,单选题,下列哪一种回归方法的相关系数没有闭式解？,1,"['Ridge回归', 'Lasso回归', 'Ridge回归 and Lasso回归', '两者都不是']",B
147,机器学习与深度学习,单选题,下列哪一个项对欠拟合和过拟合的权衡影响最大？,1,"['多项式次数', '是否通过矩阵倒置或梯度下降来学习权重', '使用常数项']",A
148,机器学习与深度学习,单选题,假设使用逻辑回归模型处理n元分类问题，可以用到One-vs-rest方法，则下列哪一项是正确的？,1,"['在n元分类问题中，需要拟合n个模型', '为了分类为n类，需要拟合n-1个模型', '为了分类为n类，只需要拟合1个模型', '都不正确']",A
149,机器学习与深度学习,单选题,考虑线性回归和逻辑回归中的重量/相关系数，关于cost函数的偏导，下列哪一项是正确的？,1,"['都不一样', '都一样', '无法确定', '以上都不对']",B
150,机器学习与深度学习,单选题,"逻辑回归是输出结果落在[0,1]区间内，下列哪个函数用于转换概率，使其落入[0,1]？",1,"['Sigmoid', 'Mode', 'Square', 'Probit']",A
151,机器学习与深度学习,单选题,下列关于回归分析中的残差表述正确的是,1,"['残差的平均值总为零', '残差的平均值总小于零', '残差的平均值总大于零', '残差没有此类规律']",C
152,机器学习与深度学习,单选题,在线性回归问题中，我们用R方“R-squared”来衡量拟合的好坏。在线性回归模型中增加特征值并再训练同一模型。下列哪一项是正确的？,1,"['如果R方上升，则该变量是显著的', '如果R方下降，则该变量不显著', '单单R方不能反映变量重要性，不能就此得出正确结论', '都不正确']",C
153,机器学习与深度学习,单选题,假设线性回归模型完美拟合训练数据（即训练误差为零），则下列哪项是正确的？,1,"['测试误差一定为零', '测试误差一定不为零', '以上都不对']",C
154,机器学习与深度学习,单选题,一个人年龄和健康之间的相关系数是-1.09，据此可以得出,1,"['年龄是健康预测的好的参考量', '年龄是健康预测的不好的参考量', '都不对']",C
155,机器学习与深度学习,单选题,"下列哪种方法被用于预测因变量？( )
1.线性回归
2.逻辑回归",1,"['1和2', '1', '2', '都不是']",B
156,机器学习与深度学习,单选题,为了检验连续变量x，y之间的线性关系，下列哪种图最合适？,1,"['散点图', '条形图', '直方图', '都不对']",A
157,机器学习与深度学习,单选题,"在导出线性回归的参数时，我们做出下列哪种假定？( )
1.因变量y和自变量x的真实关系是线性的
2.模型误差是统计独立的
3.误差通常服从一个平均值为零，标准差恒定的分布
4.自变量x是非随机的，无错的",1,"['1,2 and 3', '1,3 and 4', '1 and 3', '以上都对']",D
158,机器学习与深度学习,单选题,下列哪一项说明了X，Y之间的较强关系？,1,"['相关系数为0.9', 'Beta系数为0的空假设的p-value是0.0001', 'Beta系数为0的空假设的t统计量是30', '都不对']",A
159,机器学习与深度学习,单选题,"下列哪项可以评价回归模型？( )
1.R方R Squared
2.调整R方
3.F统计量
4.RMSE/MSE/MAE",1,"['2和4', '1和2', '2,3和4', '以上所有']",D
160,机器学习与深度学习,单选题,"假设你在训练一个线性回归模型，以下哪项是正确的？( )
1.数据越少越易过拟合
2.假设区间小则易过拟合",1,"['都是错的', '1错2对', '1对2错', '都是对的']",C
161,机器学习与深度学习,单选题,为了评价一个简单线性回归模型（单自变量），需要多少个参数？,1,"['1', '2', '不确定']",B
162,机器学习与深度学习,单选题,将原始数据进行集成、变换、维度规约、数值规约是在以下哪个步骤的任务？,1,"['频繁模式挖掘', '分类和预测', '数据预处理', '数据流挖掘']",C
163,机器学习与深度学习,单选题,下面哪种不属于数据预处理的方法？,1,"['变量代换', '离散化', '聚集', '估计遗漏值']",D
164,机器学习与深度学习,单选题,什么是KDD？,1,"['数据挖掘与知识发现', '领域知识发现', '文档知识发现', '动态知识发现']",A
165,机器学习与深度学习,单选题,建立一个模型，通过这个模型根据已知的变量值来预测其他某个变量值属于数据挖掘的哪一类任务？,1,"['根据内容检索', '建模描述', '预测建模', '寻找模式和规则']",C
166,机器学习与深度学习,单选题,以下哪种方法不属于特征选择的标准方法？,1,"['嵌入', '过滤', '包装', '抽样']",D
167,机器学习与深度学习,单选题,下列属于无监督学习的是,1,"['k-means', 'SVM', '最大熵', 'CRF']",A
168,机器学习与深度学习,单选题,下列不是SVM核函数的是：,1,"['多项式核函数', 'Logistic核函数', '径向基核函数', 'Sigmoid核函数']",B
169,机器学习与深度学习,单选题,bootstrap数据是什么意思？（提示：考“bootstrap”和“boosting”区别）,1,"['有放回地从总共M个特征中抽样m个特征', '无放回地从总共M个特征中抽样m个特征', '有放回地从总共N个样本中抽样n个样本', '无放回地从总共N个样本中抽样n个样本']",C
170,机器学习与深度学习,单选题,解决隐马模型中预测问题的算法是?,1,"['前向算法', '后向算法', 'Baum-Welch算法', '维特比算法']",D
171,机器学习与深度学习,单选题,". 以下哪些算法, 可以用神经网络去构造: （ ） 
1.KNN 
2.线性回归 
3.对数几率回归",1,"['1和 2', '2 和 3', '1, 2 和 3', '以上都不是']",B
172,机器学习与深度学习,单选题,请选择下面可以应用隐马尔科夫(HMM)模型的选项,1,"['基因序列数据集', '电影浏览数据集', '股票市场数据集', '所有以上']",D
173,机器学习与深度学习,单选题,数据科学家可能会同时使用多个算法（模型）进行预测， 并且最后把这些算法的结果集成起来进行最后的预测（集成学习），以下对集成学习说法正确的是,1,"['单个模型之间有高相关性', '单个模型之间有低相关性', '在集成学习中使用“平均权重”而不是“投票”会比较好', '单个模型都是用的一个算法']",B
174,机器学习与深度学习,单选题,以下哪个图是KNN算法的训练边界?,1,"['B', 'A', 'D', 'C']",B
175,机器学习与深度学习,单选题,"对于线性回归，我们应该有以下哪些假设？（） 
1.找到利群点很重要, 因为线性回归对利群点很敏感 
2.线性回归要求所有变量必须符合正态分布 
3.线性回归假设数据没有多重线性相关性",1,"['1 和 2', '2 和 3', '1,2 和 3', '以上都不是']",D
176,机器学习与深度学习,单选题,"我们注意变量间的相关性。在相关矩阵中搜索相关系数时, 如果我们发现3对变量的相关系数是(Var1 和Var2, Var2和Var3, Var3和Var1)是-0.98, 0.45, 1.23 . 我们可以得出什么结论？（ ） 
1.Var1和Var2是非常相关的 
2.因为Var和Var2是非常相关的, 我们可以去除其中一个 
3.Var3和Var1的1.23相关系数是不可能的",1,"['1 and 3', '1 and 2', '1,2 and 3', '1']",C
177,机器学习与深度学习,单选题,下面对集成学习模型中的弱学习者描述错误的是？,1,"['他们经常不会过拟合', '他们通常带有高偏差，所以其并不能解决复杂学习问题', '他们通常会过拟合']",C
178,机器学习与深度学习,单选题,最出名的降维算法是 PAC 和 t-SNE。将这两个算法分别应用到数据「X」上，并得到数据集「X_projected_PCA」，「X_projected_tSNE」。下面哪一项对「X_projected_PCA」和「X_projected_tSNE」的描述是正确的？,1,"['X_projected_PCA 在最近邻空间能得到解释', 'X_projected_tSNE 在最近邻空间能得到解释', '两个都在最近邻空间能得到解释', '两个都不能在最近邻空间得到解释']",B
179,机器学习与深度学习,单选题,在 k-均值算法中，以下哪个选项可用于获得全局最小？,1,"['尝试为不同的质心（centroid）初始化运行算法', '调整迭代的次数', '找到集群的最佳数量', '以上所有']",D
180,机器学习与深度学习,单选题,你正在使用带有 L1 正则化的 logistic 回归做二分类，其中 C 是正则化参数，w1 和 w2 是 x1 和 x2 的系数。当你把 C 值从 0 增加至非常大的值时，下面哪个选项是正确的？,1,"['第一个 w2 成了 0，接着 w1 也成了 0', '第一个 w1 成了 0，接着 w2 也成了 0', 'w1 和 w2 同时成了 0', '即使在 C 成为大值之后，w1 和 w2 都不能成 0']",B
181,机器学习与深度学习,单选题,即使在 C 成为大值之后，w1 和 w2 都不能成 0,1,"['PCA', 'K-Means', '以上都不是']",A
182,机器学习与深度学习,单选题,下面哪个/些超参数的增加可能会造成随机森林数据过拟合？,1,"['树的数量', '树的深度', '学习速率']",B
183,机器学习与深度学习,单选题,下列哪个不属于常用的文本分类的特征选择算法？,1,"['卡方检验值', '互信息', '信息增益', '主成分分析']",D
184,机器学习与深度学习,单选题,机器学习中做特征选择时，可能用到的方法有？,1,"['卡方', '信息增益', '平均互信息', '期望交叉熵', '以上都有']",E
185,机器学习与深度学习,单选题,一般，K-NN最近邻方法在（  ）的情况下效果较好,1,"['样本较多但典型性不好', '样本呈团状分布', '样本较少但典型性好', '样本呈链状分布']",A
186,机器学习与深度学习,单选题,以下描述错误的是,1,"['SVM是这样一个分类器，它寻找具有最小边缘的超平面，因此它也经常被称为最小边缘分类器', '在聚类分析当中，簇内的相似性越大，簇间的差别越大，聚类的效果就越差', '在决策树中，随着树中结点输变得太大，即使模型的训练误差还在继续降低，但是检验误差开始增大，这是出现了模型拟合不足的原因', '聚类分析可以看作是一种非监督的分类']",C
187,机器学习与深度学习,单选题,"关于正态分布,下列说法错误的是",1,"['正态分布具有集中性和对称性', '正态分布的均值和方差能够决定正态分布的位置和形态', '正态分布的偏度为0，峰度为1', '标准正态分布的均值为0，方差为1']",C
188,机器学习与深度学习,单选题,"在以下不同的场景中,使用的分析方法不正确的有",1,"['根据商家最近一年的经营及服务数据,用聚类算法判断出天猫商家在各自主营类目下所属的商家层级', '根据商家近几年的成交数据,用聚类算法拟合出用户未来一个月可能的消费金额公式', '用关联规则算法分析出购买了汽车坐垫的买家,是否适合推荐汽车脚垫', '根据用户最近购买的商品信息,用决策树算法识别出淘宝买家可能是男还是女']",B
189,机器学习与深度学习,单选题,下列表述中，在k-fold交叉验证中关于选择K说法正确的是,1,"['较大的K并不总是好的，选择较大的K可能需要较长的时间来评估你的结果', '相对于期望误差来说，选择较大的K会导致低偏差（因为训练folds会变得与整个数据集相似）', '在交叉验证中通过最小化方差法来选择K值', '以上都正确']",D
190,机器学习与深度学习,单选题,在决策树中，用作分裂节点的information gain说法不正确的是,1,"['较小不纯度的节点需要更多的信息来区分总体', '信息增益可以使用熵得到', '信息增益更加倾向于选择有较多取值的属性']",A
191,机器学习与深度学习,单选题,以下哪一种方法最适合在n（n>1）维空间中做异常点检测,1,"['正态分布图', '盒图', '马氏距离', '散点图']",C
192,机器学习与深度学习,单选题,logistic回归与多元回归分析有哪些不同？,1,"['logistic回归预测某事件发生的概率', 'logistic回归有较高的拟合效果', 'logistic回归回归系数的评估', '以上全选']",D
193,机器学习与深度学习,单选题,bootstrap 数据的含义是,1,"['有放回的从整体M中抽样m个特征', '无放回的从整体M中抽样m个特征', '有放回的从整体N中抽样n个样本', '无放回的从整体N中抽样n个样本']",C
194,机器学习与深度学习,单选题,下面哪个决策边界是神经网络生成的？,2,"['A', 'D', 'C', 'B', '以上都有']",E
195,机器学习与深度学习,单选题,关于Logit 回归和SVM 不正确的是,2,"['Logit回归本质上是一种根据样本对权值进行极大似然估计的方法，而后验概率正比于先验概率和似然函数的乘积。logit仅仅是最大化似然函数，并没有最大化后验概率，更谈不上最小化后验概率', 'Logit回归的输出就是样本属于正类别的几率，可以计算出概率', 'SVM的目标是找到使得训练数据尽可能分开且分类间隔最大的超平面，应该属于结构风险最小化', 'SVM可以通过正则化系数控制模型的复杂度，避免过拟合']",A
196,机器学习与深度学习,单选题," Fisher线性判别函数的求解过程是将M维特征矢量投影在（ ）中进行求解。
A、M-1维空间",2,"['M-1维空间', '一维空间', '三维空间', '二维空间']",B
197,机器学习与深度学习,单选题,在其它条件不变的前提下，以下哪种做法容易引起机器学习中的过拟合问题,2,"['增加训练集数量', '减少神经网络隐藏层节点数', '删除稀疏的特征', 'SVM算法中使用高斯核/RBF核代替']",D
198,机器学习与深度学习,单选题,如果线性回归模型中的随机误差存在异方差性，那么参数的OLS估计量是,2,"['无偏的，有效的', '无偏的，非有效的', '有偏的，有效的', '有偏的，非有效的']",B
199,机器学习与深度学习,单选题,下列哪个不属于CRF模型对于HMM和MEMM模型的优势,2,"['特征灵活', '速度快', '可容纳较多上下文信息', '全局最优']",B
200,机器学习与深度学习,单选题,"已知一组数据的协方差矩阵P,下面关于主分量说法错误的是",2,"['主分量分析的最佳准则是对一组数据进行按一组正交基分解, 在只取相同数量分量的条件下,以均方误差计算截尾误差最小', '在经主分量分解后,协方差矩阵成为对角矩阵', '主分量分析就是K-L变换', '主分量是通过求协方差矩阵的特征值得到']",C
201,机器学习与深度学习,单选题,以下哪些方法不可以直接来对文本分类？,2,"['Kmeans', '决策树', '支持向量机', 'KNN']",A
202,机器学习与深度学习,单选题,以下(  )不属于线性分类器最佳准则？,2,"['感知准则函数', '贝叶斯分类', '支持向量机', 'Fisher准则']",B
203,机器学习与深度学习,单选题,在统计模式分类问题中，当先验概率未知时，可以使用,2,"['最小损失准则', '最小最大损失准则', '最小误判概率准则']",B
204,机器学习与深度学习,单选题,"有两个样本点，第一个点为正样本,它的特征向量是(0,-1);第二个点为负样本,它的特征向量是(2,3),从这两个样本点组成的训练集构建一个线性SVM分类器的分类面方程是",2,"['2x+y=4', 'x+2y=5', 'x+2y=3', '2x-y=0']",C
205,机器学习与深度学习,单选题,"在Logistic Regression 中,如果同时加入L1和L2范数,不会产生什么效果",2,"['以做特征选择,并在一定程度上防止过拟合', '能解决维度灾难问题', '能加快计算速度', '可以获得更准确的结果']",D
206,机器学习与深度学习,单选题,在其他条件不变的前提下，以下哪种做法容易引起机器学习中的过拟合问题？,2,"['增加训练集量', '减少神经网络隐藏层节点数', '删除稀疏的特征', 'SVM算法中使用高斯核/RBF核代替线性核']",D
207,机器学习与深度学习,单选题,隐马尔可夫模型三个基本问题以及相应的算法说法错误的是,2,"['评估—前向后向算法', '解码—维特比算法', '学习—Baum-Welch算法', '学习—前向后向算法']",D
208,机器学习与深度学习,单选题,假设在训练中我们突然遇到了一个问题，在几次循环之后，误差瞬间降低。你认为数据有问题，于是你画出了数据并且发现也许是数据的偏度过大造成了这个问题，你打算怎么做来处理这个问题？,3,"['对数据作归一化', '对数据取对数变化', '都不对 ', '对数据作主成分分析(PCA)和归一化']",D
209,机器学习与深度学习,单选题,"使用k=1的KNN算法, 下图二类分类问题, “+” 和 “o” 分别代表两个类, 那么, 用仅拿出一个测试样本的交叉验证方法, 交叉验证的错误率是多少",3,"['0%', '100%', '0%-100%', '以上都不是']",B
210,机器学习与深度学习,单选题,"有两个样本点，第一个点为正样本,它的特征向量是(0,-1);第二个点为负样本,它的特征向量是(2,3),从这两个样本点组成的训练集构建一个线性SVM分类器的分类面方程是",3,"['2x+y=4', 'x+2y=5', 'x+2y=3', '2x-y=0']",C
211,机器学习与深度学习,单选题,以P(w)表示词条w的概率，假设已知P（南京）=0.8，P（市长）=0.6，P（江大桥）=0.4：P（南京市）=0.3，P（长江大桥）=0.5：如果假设前后两个词的出现是独立的，那么分词结果就是,3,"['南京市*长江*大桥', '南京*市长*江大桥', '南京市长*江大桥', '南京市*长江大桥']",B
212,机器学习与深度学习,单选题,"一个二进制源X发出符号集为{-1,1}，经过离散无记忆信道传输，由于信道中噪音的存在，接收端Y收到符号集为{-1,1,0}。已知P(x=-1)=1/4，P(x=1)=3/4，P(y=-1|x=-1)=4/5，P(y=0|x=-1)=1/5，P(y=1|x=1)=3/4，P(y=0|x=1)=1/4，求条件熵H(Y|X)",3,"['0.237', '0.328', '0.527', '0.537']",A
213,机器学习与深度学习,单选题,"Nave Bayes是一种特殊的Bayes分类器,特征变量是X,类别标签是C,它的一个假定是",3,"['各类别的先验概率P(C)是相等的', '以0为均值，sqr(2)/2为标准差的正态分布', '特征变量X的各个维度是类别条件独立随机变量', 'P(X|C)是高斯分布']",C
214,机器学习与深度学习,单选题,假定你使用SVM学习数据X，数据X里面有些点存在错误。现在如果你使用一个二次核函数，多项式阶数为2，使用松弛变量C作为超参之一。如果使用较小的C（C趋于0），则,3,"['误分类', '正确分类', '不确定', '以上均不正确']",A
215,机器学习与深度学习,单选题,对于投影数据为(( √2)，(0)，(√2))。现在如果在二维空间中重建，并将它们视为原始数据点的重建，那么重建误差是多少？,3,"['0%', '10%', '30%', '40%']",A
216,机器学习与深度学习,单选题,"Xi和Xj是较高维度表示中的两个不同点，其中Yi和Yj是较低维度中的Xi和Xj的表示
1.数据点Xi与数据点Xj的相似度是条件概率p（j | i）
2.数据点Yi与数据点Yj的相似度是条件概率q（j | i）
对于在较低维度空间中的Xi和Xj的完美表示，以下哪一项必须是正确的？",3,"['p（j | i）= 0，q（j | i）= 1', 'p（j | i）', 'p（j | i）= q（j | i）', 'P（j | i）> q（j | i）']",C
217,机器学习与深度学习,单选题,"如下逻辑回归图显示了3种不同学习速率值的代价函数和迭代次数之间的关系（不同的颜色在不同的学习速率下显示不同的曲线）
为了参考而保存图表后，忘记其中不同学习速率的值。现在需要曲线的倾斜率值之间的关系。
以下哪一个是正确的？
1.蓝色的学习率是L1
2.红色的学习率是L2
3.绿色学习率为lL3",3,"['L1> L2> L3', 'L1 = L2 = L3', 'L1', '都不是']",C
218,机器学习与深度学习,单选题,"以下是两种不同的对数模型，分别为β0和β1
对于两种对数模型（绿色，黑色）的β0和β1值，下列哪一项是正确的？ B 
注： Y =β0+β1* X。其中β0是截距，β1是系数",3,"['绿色的β1大于黑色', '绿色的β1小于黑色', '两种颜色的β1相同']",B
219,机器学习与深度学习,单选题,"下面是三个散点图（A，B，C，从左到右）和和手绘的逻辑回归决策边界,根据可视化后的结果，能得出什么结论？
1.与第二和第三图相比，第一幅图中的训练误差最大。
2.该回归问题的最佳模型是最后（第三个）图，因为它具有最小的训练误差（零）。
3.第二个模型比第一个和第三个更强，它在不可见数据中表现最好。
4.与第一种和第二种相比，第三种模型过度拟合了。
5.所有的模型执行起来都一样，因为没有看到测试数据。",3,"['1和3', '2和3', '1,3和4', '5']",A
220,机器学习与深度学习,单选题,"使用 high(infinite) regularisation时偏差会如何变化？
有散点图“a”和“b”两类（蓝色为正，红色为负）。在散点图“a”中，使用了逻辑回归（黑线是决策边界）对所有数据点进行了正确分类",3,"['偏差很大', '偏差很小', '不确定', '都不是']",A
221,机器学习与深度学习,单选题,假定你想将高维数据映射到低维数据中，那么最出名的降维算法是 PCA 和 t-SNE。现在你将这两个算法分别应用到数据「X」上，并得到数据集「X_projected_PCA」，「X_projected_tSNE」下面哪一项对「X_projected_PCA」和「X_projected_tSNE」的描述是正确的？,3,"['X_projected_PCA 在最近邻空间能得到解释', 'X_projected_tSNE 在最近邻空间能得到解释', '两个都在最近邻空间能得到解释', '两个都不能在最近邻空间得到解释']",B
222,机器学习与深度学习,单选题,为了得到和 SVD 一样的投射（projection），你需要在 PCA 中怎样做？,3,"['将数据转换成零均值', '将数据转换成零中位数', '无法做到', '以上方法不行']",A
223,机器学习与深度学习,单选题,"假设我们有一个数据集，在一个深度为 6 的决策树的帮助下，它可以使用 100% 的精确度被训练。现在考虑一下两点，并基于这两点选择正确的选项。 
注意：所有其他超参数是相同的，所有其他因子不受影响。
1、深度为 4 时将有高偏差和低方差
2、深度为 4 时将有低偏差和低方差",3,"['只有1', '只有2', '1和2', '都没有']",A
224,机器学习与深度学习,单选题,假设你被给到以下数据，你想要在给定的两个类别中使用 logistic 回归模型对它进行分类，你正在使用带有 L1 正则化的 logistic 回归，其中 C 是正则化参数，w1 和 w2 是 x1 和 x2 的系数。当你把 C 值从 0 增加至非常大的值时，下面哪个选项是正确的？,3,"['第一个 w2 成了 0，接着 w1 也成了 0', '第一个 w1 成了 0，接着 w2 也成了 0', 'w1 和 w2 同时成了 0', '即使在 C 成为大值之后，w1 和 w2 都不能成 0']",B
225,机器学习与深度学习,单选题,"假设存在一个黑箱算法，其输入为有多个观察（t1, t2, t3,…….. tn）的训练数据和一个新的观察（q1）。该黑箱算法输出 q1 的最近邻 ti 及其对应的类别标签 ci。你可以将这个黑箱算法看作是一个 1-NN（1-最近邻）
我们不使用 1-NN 黑箱，而是使用 j-NN(j>1) 算法作为黑箱。为了使用 j-NN 寻找 k-NN，下面哪个选项是正确的？",3,"[' j 必须是 k 的一个合适的因子', 'j > k', '不能办到']",A
226,机器学习与深度学习,单选题,"假设你正在做一个项目，它是一个二元分类问题。你在数据集上训练一个模型，并在验证数据集上得到混淆矩阵。基于上述混淆矩阵，下面哪个选项会给你正确的预测。
1、精确度是~0.91
2 、错误分类率是~0.91
3 、假正率（False correct classification）是~0.95
4 、真正率（True positive rate）是~0.95",3,"['1和3', '2和4', '1和4', '2和3']",C
227,机器学习与深度学习,单选题," Y的预期值是关于变量X(X1,X2….Xn)的线性函数，回归线定义为Y = β0 + β1 X1 + β2 X2……+ βn Xn，下列陈述哪项正确？(D)
1.如果Xi的变化量为 Xi，其它为常量，则Y的变化量为βi Xi，常量βi可以为正数或负数
2. βi 的值都是一样的，除非是其它X的βi
3.X对Y预期值的总影响为每个分影响之和
提示：特征值间相互独立，互不干扰",3,"['1和2', '1和3', '2和3', '1，2和3']",D
228,机器学习与深度学习,单选题," Nave Bayes是一种特殊的Bayes分类器,特征变量是X,类别标签是C,它的一个假定是",3,"['各类别的先验概率P(C)是相等的', '以0为均值，sqr(2)/2为标准差的正态分布', '特征变量X的各个维度是类别条件独立随机变量', 'P(X|C)是高斯分布']",C
229,机器学习与深度学习,单选题,"我们想在大数据集上训练决策树, 为了使用较少时间, 我们可以 ",3,"['增加树的深度', '增加学习率 (learning rate)', '减少树的深度', '减少树的数量']",C
230,机器学习与深度学习,单选题,在一个n维的空间中， 最好的检测outlier(离群点)的方法是,3,"['作正态分布概率图', '作盒形图', '马氏距离', '作散点图']",C
231,机器学习与深度学习,单选题,"已知一组数据的协方差矩阵P,下面关于主分量说法错误的是",3,"['主分量分析的最佳准则是对一组数据进行按一组正交基分解, 在只取相同数量分量的条件下,以均方误差计算截尾误差最小', '在经主分量分解后,协方差矩阵成为对角矩阵', '主分量分析就是K-L变换', '主分量是通过求协方差矩阵的特征值得到']",C
232,机器学习与深度学习,单选题,"回归模型中存在多重共线性, 你如何解决这个问题？
1.去除这两个共线性变量 
2.我们可以先去除一个共线性变量 
3.计算VIF(方差膨胀因子), 采取相应措施 
4.为了避免损失信息, 我们可以使用一些正则化方法, 比如, 岭回归和lasso回归. 
哪些是对的？",3,"['1', '2', '2和3', '2，3和4']",D
233,机器学习与深度学习,单选题,"模型的高bias是什么意思, 我们如何降低它 ?",3,"['在特征空间中减少特征', '在特征空间中增加特征', '增加数据点', 'B和C']",B
234,机器学习与深度学习,单选题,"对于信息增益, 决策树分裂节点, 下面说法正确的是
1.纯度高的节点需要更多的信息去区分 
2.信息增益可以用”1比特-熵”获得 
3.如果选择一个属性具有许多归类值, 那么这个信息增益是有偏差的",3,"['1', '2', '2和3', '所有']",C
235,机器学习与深度学习,单选题,"假设我们要解决一个二类分类问题, 我们已经建立好了模型, 输出是0或1, 初始时设阈值为0.5, 超过0.5概率估计, 就判别为1, 否则就判别为0 ; 如果我们现在用另一个大于0.5的阈值, 那么现在关于模型说法, 正确的是
1模型分类的召回率会降低或不变 
2.模型分类的召回率会升高 
3.模型分类准确率会升高或不变 
4.模型分类准确率会降低",3,"['1', '2', '1和3', '2和4']",C
236,机器学习与深度学习,单选题,"“点击率问题”是这样一个预测问题, 99%的人是不会点击的, 而1%的人是会点击进去的, 所以这是一个非常不平衡的数据集. 假设, 现在我们已经建了一个模型来分类, 而且有了99%的预测准确率, 我们可以下的结论是 ",3,"['模型预测准确率已经很高了, 我们不需要做什么了', '模型预测准确率不高, 我们需要做点什么改进模型', '无法下结论', '以上都不对']",B
237,机器学习与深度学习,单选题,"假如我们使用非线性可分的SVM目标函数作为最优化对象, 我们怎么保证模型线性可分？",3,"['设C=1', '设C=0', '设C=无穷大', '都不对']",C
238,机器学习与深度学习,单选题,"我们想要减少数据集中的特征数, 即降维. 选择以下适合的方案
1.使用前向特征选择方法 
2.使用后向特征排除方法 
3.我们先把所有特征都使用, 去训练一个模型, 得到测试集上的表现. 然后我们去掉一个特征, 再去训练, 用交叉验证看看测试集上的表现. 如果表现比原来还要好, 我们可以去除这个特征 
4.查看相关性表, 去除相关性最高的一些特征",3,"['1 和 2', '2, 3和4', '1, 2和4', 'all']",D
239,机器学习与深度学习,单选题,"对于下图, 最好的主成分选择是多少 ?",3,"['7', '30', '35', '不确定']",B
240,机器学习与深度学习,单选题,"对应GradientBoosting tree算法， 以下说法正确的是
1.当增加最小样本分裂个数，我们可以抵制过拟合 
2.当增加最小样本分裂个数，会导致过拟合 
3.当我们减少训练单个学习器的样本个数，我们可以降低variance 
4.当我们减少训练单个学习器的样本个数，我们可以降低bias",3,"['2和4', '2和3', '1和3', '1和4']",C
241,机器学习与深度学习,单选题,"下面的交叉验证方法 : 
i. 有放回的Bootstrap方法 
ii. 留一个测试样本的交叉验证 
iii. 5折交叉验证 
iv. 重复两次的5折交叉验证 
当样本是1000时，下面执行时间的顺序，正确的是",3,"['i > ii > iii > iv', 'ii > iv > iii > i', 'iv > i > ii > iii', ' ii > iii > iv > i']",B
242,机器学习与深度学习,单选题,"变量选择是用来选择最好的判别器子集， 如果要考虑模型效率，我们应该做哪些变量选择的考虑？
1.多个变量其实有相同的用处 
2.变量对于模型的解释有多大作用 
3.特征携带的信息 
4.交叉验证",3,"['1 和 4', '1，2和3', '1，3和4', '以上都有']",C
243,机器学习与深度学习,单选题,为了得到和 SVD 一样的投射（projection），你需要在 PCA 中怎样做？,3,"['将数据转换成零均值', '将数据转换成零中位数', '无法做到']",A
244,机器学习与深度学习,单选题,假设你使用 log-loss 函数作为评估标准。下面这些选项，哪些是对作为评估标准的 log-loss 的正确解释,3,"['如果一个分类器对不正确的分类很自信，log-loss 会严重的批评它', '对一个特别的观察而言，分类器为正确的类别分配非常小的概率，然后对 log-loss 的相应分布会非常大', 'log-loss 越低，模型越好', '以上都是']",D
